Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance
CS,498,Mobile Interaction Design,3,17,11,5,6,1,0,0,1,0,0,0,0,0,44,3.6218181818181816,0.23516487603305783
CS,498,Probability in CS,17,57,28,32,28,18,4,5,4,2,2,0,9,1,206,3.2429126213592228,0.45465782523905807
CS,498,Probability in Computer Sci,13,24,22,25,19,18,14,2,3,0,2,0,8,2,150,3.0712,0.4595415231999999
CS,498,Social & Information Networks,5,26,9,3,3,6,3,3,2,0,0,0,0,0,60,3.472833333333334,0.5081736388888889
CS,498,Socio-Computer Interaction,0,8,6,5,7,9,1,0,0,0,1,0,0,0,37,3.2170270270270267,0.4033560262965668
CS,498,Software Testing,15,7,6,7,9,8,1,0,0,0,0,0,0,0,53,3.4720754716981133,0.28234852260590954
CS,498,Special Topics,18,47,23,13,23,3,0,4,0,0,2,0,0,0,133,3.5692481203007516,0.34563402114308334
CS,498,The Art of Web Programming,9,59,40,46,41,28,13,8,13,1,2,0,0,1,260,3.2348846153846154,0.48957883284023673
CS,498,Theory II,19,59,58,53,57,42,34,22,13,5,2,1,7,3,372,3.0611290322580653,0.5323380353266646
CS,498,Using Tech to Solve Adv Probs,0,11,5,2,3,0,1,0,0,0,0,0,0,0,22,3.651818181818182,0.2074603305785124
CS,498,Virtual Reality,120,441,213,130,154,37,9,18,2,0,2,0,2,1,1128,3.6185372340425532,0.23814952394314318
CS,510,Advanced Information Retrieval,33,84,26,13,10,3,0,0,0,0,0,0,0,1,169,3.8149112426035496,0.10759895661916599
CS,511,Advanced Data Management,12,36,45,9,9,6,2,0,1,0,0,0,1,0,121,3.607190082644628,0.19734400277495384
CS,512,Data Mining Principles,58,194,89,27,21,9,8,5,3,0,1,0,2,1,417,3.7079616306954444,0.22846045198242657
CS,519,Scientific Visualization,9,66,24,16,10,0,0,1,0,0,0,0,2,2,128,3.698125,0.13108822631835937
CS,523,Advanced Operating Systems,11,18,22,11,1,0,0,0,0,0,0,0,1,0,64,3.69328125,0.07300757102966306
CS,525,Advanced Distributed Systems,45,85,149,62,6,1,0,0,0,0,0,0,0,0,348,3.7182758620689658,0.06955909631391201
CS,527,Adv Topics in Software Eng,6,9,8,3,0,0,0,0,0,0,0,0,0,0,26,3.821153846153846,0.05331789940828402
CS,527,Topics in Software Engineering,35,52,25,19,11,6,0,0,0,0,0,0,1,2,149,3.70496644295302,0.1487822046228645
CS,528,Obj-Oriented Progrmg & Design,2,55,0,2,22,2,0,2,2,0,0,0,0,0,87,3.6016091954022977,0.3618985599154446
CS,533,Parallel Computer Architecture,28,67,13,16,37,1,0,3,0,0,0,0,0,0,165,3.6403636363636362,0.23046168595041322
CS,538,Advanced Computer Networks,7,86,5,7,2,3,2,0,0,0,0,0,0,1,112,3.860089285714286,0.12838302774234694
CS,544,Optimiz in Computer Vision,0,29,0,2,0,0,0,0,0,0,0,0,0,0,31,3.956774193548387,0.02709281997918834
CS,546,Machine Learning in NLP,2,131,14,10,9,3,1,0,0,0,0,0,0,1,170,3.847176470588235,0.1125814394463668
CS,548,Models of Cognitive Processes,1,35,5,15,31,3,3,2,0,0,1,0,0,0,96,3.388541666666667,0.34436245659722226
CS,554,Parallel Numerical Algorithms,19,39,45,27,4,9,0,0,0,0,0,0,0,2,143,3.6579720279720274,0.14134483837840484
CS,555,Numerical Methods for PDEs,5,137,30,17,5,10,0,1,1,0,0,0,1,1,207,3.7685024154589373,0.16290447001677502
CS,556,Iterative & Multigrid Methods,0,15,5,2,1,2,0,0,1,0,1,0,0,0,27,3.556296296296296,0.5590159122085049
CS,563,Advanced Computer Security,1,36,11,3,1,1,0,1,1,0,0,0,0,1,55,3.7763636363636364,0.2180304132231405
CS,565,Human-Computer Interaction,4,57,25,11,9,2,0,4,0,0,0,0,1,0,113,3.6523893805309733,0.2230451918605417
CS,573,Algorithms,8,49,45,43,25,15,1,0,0,0,0,0,0,3,186,3.514623655913978,0.18659044976297837
CS,574,Randomized Algorithms,0,3,10,3,5,2,0,0,0,0,0,0,0,1,23,3.436086956521739,0.15911077504725898
CS,583,Approximation Algorithms,0,23,4,0,1,0,0,0,0,0,0,0,0,0,28,3.9171428571428573,0.0444061224489796
CS,598,Adv Social&Information Network,12,7,2,3,0,0,0,0,0,0,0,0,0,0,24,3.88875,0.052810937499999995
CS,598,Advanced Bayesian Modeling,22,50,11,25,14,5,1,2,3,0,0,0,2,2,135,3.543037037037037,0.30403134757912914
CS,598,Advanced Data Structures,0,14,9,6,0,0,0,0,0,0,0,0,0,0,29,3.7589655172413794,0.06857479191438763
CS,598,Advanced Information Retrieval,25,99,24,9,5,1,0,0,0,0,0,0,0,0,163,3.8755828220858897,0.06686760510369226
CS,598,Adversarial Machine Learning,1,20,7,1,0,0,0,0,0,0,0,0,0,1,29,3.8972413793103446,0.03120618311533889
CS,598,Autonomous Vehicles for AI,0,26,0,0,0,0,0,1,0,0,0,0,0,0,27,3.925925925925926,0.14266117969821673
CS,598,Cutting-Edge Trends In DLR,12,27,11,6,3,0,0,0,0,0,0,0,0,0,59,3.8194915254237287,0.08421838552140189
CS,598,Data Cleaning,50,5,5,0,1,0,0,0,0,0,0,0,0,1,61,3.9565573770491804,0.023432410642300457
CS,598,Data-Driven Design,4,18,7,10,3,1,0,0,0,0,0,0,0,0,43,3.689767441860465,0.13678366684694426
CS,598,Deep Learning,12,17,7,1,2,0,0,0,0,0,0,0,0,0,39,3.8723076923076927,0.06603313609467455
CS,598,Foundations of Data Curation,75,28,5,2,2,0,0,0,0,0,0,0,0,0,112,3.955446428571429,0.02874980070153061
CS,598,Graphical Models,3,19,1,0,0,0,0,0,0,0,1,0,0,1,24,3.86125,0.3602859375
CS,598,HCI for ML,0,24,11,2,1,0,0,0,0,0,0,0,0,1,38,3.8428947368421054,0.056783725761772846
CS,598,Improving Your Research Skills,9,12,4,3,0,0,0,0,0,0,0,0,0,0,28,3.8810714285714285,0.049509566326530606
CS,598,Lang/Abst f High-Perf Sci Comp,0,19,1,1,0,0,0,0,0,0,0,0,0,0,21,3.9523809523809526,0.024294331065759633
CS,598,Mach Lrng for Signal Processng,54,165,53,8,16,8,1,1,1,0,0,0,3,1,310,3.782290322580645,0.13587585038098757
CS,598,Machine Learning Theory,2,13,5,0,2,0,0,0,0,0,0,0,0,0,22,3.834090909090909,0.08813326446280992
CS,598,Machine Lrning Computation Bio,6,28,8,1,3,0,0,0,0,0,0,0,0,0,46,3.8628260869565225,0.0750985349716446
CS,598,Object-Oriented Prog & Design,3,22,0,0,5,0,0,0,0,0,0,0,0,0,30,3.8333333333333335,0.13888888888888887
CS,598,Parallel Programming,1,11,4,2,3,2,0,0,0,0,0,0,0,0,23,3.638260869565218,0.21137088846880908
CS,598,Practical Statistical Learning,1,90,13,7,3,0,0,2,0,0,0,0,2,0,118,3.796779661016949,0.1174042769708685
CS,598,Realiablity of Cloud-Scale Sys,3,13,9,5,1,0,0,0,0,0,0,0,0,0,31,3.7638709677419357,0.08052049947970863
CS,598,Secure Processor Design,3,19,2,1,0,0,0,0,0,0,0,0,0,0,25,3.9468,0.02383776
CS,598,Social Sensing,7,11,4,2,0,0,0,0,0,0,0,0,0,0,24,3.8891666666666667,0.04327430555555556
CS,598,Social Spaces on the Internet,12,11,4,1,0,0,0,0,0,0,0,0,0,0,28,3.9289285714285715,0.026538137755102047
CS,598,Special Topics,20,36,15,5,14,11,0,0,0,0,0,0,0,0,101,3.6343564356435643,0.23596716008234486
CS,598,Statistical Reinforcement,4,8,5,1,0,0,1,2,0,0,0,0,0,0,21,3.619523809523809,0.4162997732426304
CS,598,Topic in Algorithms,3,8,7,1,5,0,0,0,0,0,0,0,0,0,24,3.6675,0.14824375
CW,100,Intro to Creative Writing,4,102,44,39,21,14,6,1,1,0,0,0,2,1,234,3.5614529914529913,0.23869235539421818
CW,200,Reading for Writers,9,5,5,1,0,0,1,0,0,0,0,0,0,2,21,3.8099999999999996,0.14400952380952378
CW,243,Inter Expository Writing,10,45,16,10,5,5,4,1,3,0,2,0,6,3,107,3.3523364485981313,0.49725381215189973
CWL,114,Global Consciousness and Lit,119,157,101,66,72,44,19,27,16,5,9,5,12,3,652,3.3311656441717794,0.5790999072446392
CWL,151,Cross-Cultural Thematics,1,50,9,1,0,0,0,0,0,0,0,0,1,0,62,3.8767741935483873,0.02351897888624079
CWL,151,Dystopian Fiction,6,34,16,9,6,0,1,1,0,0,0,0,0,0,73,3.712602739726027,0.17180555451304183
CWL,151,From Hollywood to Bollywood,0,19,4,0,1,0,0,1,0,0,0,0,2,0,27,3.543703703703704,0.24808732408677528
CWL,189,Lit of Asia & Africa I,15,35,12,14,10,4,2,1,0,0,0,0,1,0,94,3.595744680851064,0.2335501921539543
CWL,190,Lit of Asia & Africa II,0,5,3,7,3,2,0,2,1,0,1,0,0,0,24,3.13875,0.6097359375
CWL,207,Indian Cinema in Context,29,886,88,23,26,7,1,6,0,0,1,2,10,3,1079,3.8673864689527337,0.09982803414278014
CWL,208,Lits & Cultures of South Asia,11,12,4,0,2,1,0,0,0,0,0,0,0,0,30,3.845,0.116125
CWL,241,Early Masterpieces West Cultur,0,4,6,7,3,1,1,0,0,0,0,0,0,0,22,3.424090909090909,0.1843969008264463
CWL,241,Lit Europe & the Americas I,6,69,24,15,6,4,2,1,1,0,1,0,2,1,131,3.6338931297709927,0.2630576789818561
CWL,242,Lit Europe and the Americas II,16,12,11,9,5,3,3,1,2,0,0,0,4,1,66,3.2981818181818183,0.4052874029551715
CWL,242,Modern Masterpieces West Cultr,11,12,15,4,2,2,1,0,0,1,1,1,2,0,52,3.404615384615385,0.5645707783340917
CWL,450,Topics in Bodies and Genders,0,13,1,6,2,0,0,0,0,0,0,0,0,0,22,3.7113636363636364,0.13497541322314047
DANC,100,Intro to Contemporary Dance,709,1298,308,128,113,55,28,34,12,8,2,7,33,11,2735,3.744446069469836,0.2266448320580254
DANC,101,Contact Improvisation I,5,9,5,5,2,0,0,0,0,0,0,0,0,1,26,3.730769230769231,0.11170710059171597
DANC,101,Making Dances,9,12,0,0,0,0,0,0,0,0,0,0,1,0,22,3.8181818181818183,0.031555221637866206
DANC,101,Modern Dance I,59,126,30,13,8,6,0,3,1,0,0,1,3,1,250,3.7669999999999995,0.19236313200000008
DANC,102,Modern Dance II,11,10,3,1,1,0,0,0,0,0,0,0,0,1,26,3.897692307692308,0.057825443786982254
DANC,105,Hip Hop,31,37,8,9,3,0,1,0,0,0,0,1,1,0,91,3.772857142857143,0.20724841892801074
DANC,105,Hip Hop I,2,20,1,2,1,0,0,0,0,0,0,0,0,0,26,3.897307692307692,0.06663505917159762
DANC,105,Jazz 1,4,26,0,0,1,0,0,0,0,0,0,0,0,0,31,3.967741935483871,0.03121748178980229
DANC,105,Jazz Dance I,128,157,31,16,13,2,3,5,2,1,2,1,4,1,365,3.7690958904109584,0.24726977073803977
DANC,106,Hip Hop II,26,2,3,2,0,0,0,0,0,0,0,0,0,0,33,3.9293939393939397,0.0321208448117539
DANC,106,Jazz Dance II,46,50,8,1,5,3,1,0,0,1,0,0,2,2,117,3.789401709401709,0.16783185888226435
DANC,107,Ballet I,117,163,32,22,15,6,0,6,1,0,2,0,3,0,367,3.7803542234332426,0.2011553672672071
DANC,109,Ballet III,9,20,11,2,1,1,0,0,0,0,0,0,1,2,45,3.7488888888888887,0.08828614540466395
DANC,112,Hip Hop,47,102,67,18,16,9,1,1,3,0,1,0,1,0,266,3.6999999999999997,0.2170759398496241
DANC,120,Tap Dance I,17,47,14,6,9,2,0,1,0,1,1,0,0,0,98,3.7145918367346935,0.2949166701374427
DANC,121,Tap Dance II,1,15,3,2,0,0,0,0,0,0,0,0,0,0,21,3.889047619047619,0.045999092970521537
DANC,125,Black Dances of Resistance,0,2,1,5,2,6,3,4,1,0,0,0,0,1,24,2.7916666666666674,0.4050305555555556
DANC,131,Production Practicum I,0,20,0,0,0,0,0,1,0,0,0,0,0,0,21,3.9047619047619047,0.18140589569160998
DANC,150,Orientation to Dance,3,34,8,2,0,0,0,0,0,0,0,0,1,0,48,3.83375,0.03634762369791664
DANC,160,Beg Contemp Modern Tech Core,1,29,22,12,9,9,2,1,4,2,1,3,5,0,100,3.1074000000000006,0.7256745019999998
DANC,160,Beginning Modern Tech Core,3,19,9,4,7,7,2,0,0,0,1,0,1,0,53,3.390566037735849,0.40670084835132353
DANC,162,Improvisation I,3,3,10,4,0,1,0,0,0,0,0,0,0,0,21,3.6519047619047624,0.1004249433106576
DANC,166,Beginning Ballet Tech Core,0,11,9,0,0,0,0,0,0,0,0,0,1,0,21,3.6680952380952383,0.057704815894611745
DANC,167,Beginning Ballet Tech Elect,0,4,5,0,5,2,1,0,1,1,1,0,1,0,21,2.9057142857142857,0.754244703595724
DANC,175,Production in Dance,5,9,2,1,3,0,0,2,0,0,0,0,0,0,22,3.6213636363636366,0.3869390495867768
DANC,200,Explore Music through Dance,24,63,9,15,5,4,1,5,0,1,1,0,6,3,134,3.51731343283582,0.3675960457237096
DANC,201,Yoga Practicum,0,18,0,0,2,0,1,1,0,0,0,0,0,1,22,3.742272727272727,0.3330721074380165
DANC,240,Dance History,0,20,1,0,1,0,0,0,0,0,0,0,0,0,22,3.9395454545454545,0.04674979338842975
DANC,259,Contact Improv for Act/Mus/Dan,0,20,2,1,0,0,0,0,0,0,0,0,0,0,23,3.9421739130434785,0.025643100189035914
DANC,260,Int Contemp Modern Tech Core,2,41,35,23,11,8,2,0,1,0,0,0,1,1,124,3.5300806451612905,0.21330991800166157
DANC,260,Intermediate Modern Tech Core,0,16,8,5,9,3,1,1,0,0,0,0,1,0,44,3.3943181818181816,0.28519280968256955
DANC,261,Contact for Act/Danc/Musc,3,1,11,4,2,0,0,0,2,0,0,0,1,0,24,3.2929166666666667,0.3753664858217592
DANC,266,Intermediate Ballet Tech Core,4,77,46,38,14,7,3,6,0,1,2,0,2,1,200,3.51185,0.32810617327499997
DANC,268,Music Theory for Dancers,11,7,1,2,2,0,0,2,1,0,0,0,0,0,26,3.6153846153846154,0.4842094674556213
DANC,301,Yoga Practicum for Dancers,1,110,33,7,14,4,4,0,0,2,2,1,2,3,180,3.6430555555555557,0.36020284379286693
DANC,310,Ballroom,3,15,5,4,1,2,3,0,0,0,0,0,0,0,33,3.6060606060606055,0.30676932966023873
DANC,310,Ballroom Dance,3,21,1,3,0,0,1,0,0,0,0,0,0,0,29,3.8617241379310343,0.12724185493460166
DANC,310,Brazilian Rhythms,15,3,1,2,1,0,3,0,0,0,0,1,0,0,26,3.5765384615384614,0.6461534023668639
DANC,310,Hip Hop,16,4,2,0,2,0,2,2,2,0,0,0,0,0,30,3.5113333333333334,0.6496515555555555
DANC,340,Dancing Black Popular Cult,3,13,22,20,15,3,1,2,2,1,0,0,0,2,82,3.3579268292682922,0.3250115556216538
DANC,340,Dancing Black Popular Culture,15,30,17,14,8,10,5,5,1,1,0,0,3,1,109,3.3427522935779814,0.4377981249840738
DANC,360,Int/Adv Contemp Mod Tech Core,1,19,20,13,3,4,3,0,0,1,0,0,0,0,64,3.5107812500000004,0.28542907714843746
DANC,360,Int/Adv Modern Tech Core,2,47,42,31,10,6,3,1,2,1,1,1,2,1,149,3.4544966442953013,0.3579851887075648
DANC,362,Choreographic Process II,0,19,1,2,1,0,0,0,0,0,0,0,0,0,23,3.8839130434782607,0.07377164461247636
DANC,363,Advanced Improvisation,3,16,1,1,0,0,0,0,0,0,0,0,0,0,21,3.9523809523809526,0.024294331065759633
DANC,366,Int/Adv Ballet Tech Core,0,15,12,18,10,6,1,0,1,1,1,0,2,1,67,3.2288059701492537,0.38282281331147777
DANC,410,Advanced Jazz Technique,0,5,6,2,2,2,1,2,0,0,1,0,1,0,22,3.061363636363636,0.6419596262208866
DANC,440,Dance History I,0,12,0,2,1,3,2,0,0,0,1,0,1,0,22,3.242272727272727,0.665393360255447
EALC,122,History East Asian Religions,8,44,19,9,9,2,4,0,1,0,0,0,0,0,96,3.6565625,0.24904547526041668
EALC,130,The Chinese Language,93,99,105,50,26,15,8,10,3,3,2,2,7,2,423,3.5198108747044916,0.36481301350865336
EALC,199,"Chinese Science, Tech & Med",6,18,2,8,0,6,4,2,0,2,0,0,0,0,48,3.3745833333333337,0.6054331597222222
EALC,222,Chinese Thght Confucius to Mao,4,1,11,14,16,4,10,7,2,2,0,1,1,0,73,2.8717808219178083,0.513484156219394
EALC,250,Intro to Japanese Culture,55,261,202,229,250,113,79,88,26,19,19,4,48,7,1393,3.0653697056712144,0.5305790709577397
EALC,275,Masterpieces of East Asian Lit,59,232,305,152,128,74,31,28,17,6,9,0,10,2,1051,3.372683158896289,0.38774530598371637
EALC,285,Intro to Korea Through Film,5,21,18,13,4,5,1,3,0,0,0,0,2,1,72,3.430972222222222,0.28573737729338133
EALC,287,Introduction to Buddhism,0,5,6,2,5,7,1,1,2,0,0,0,1,0,30,3.001333333333333,0.4550714962962964
EALC,305,Japan Lit in Translation I,6,42,32,28,21,9,1,6,3,1,3,0,2,1,154,3.3336363636363635,0.46474091445744337
EALC,306,Japan Lit in Translation II,3,14,22,14,5,11,2,1,1,0,0,0,4,1,77,3.2215584415584417,0.3113176339935995
EALC,307,Classical Chinese Lit,0,2,6,7,6,5,1,2,0,0,0,0,0,0,29,3.1382758620689652,0.27222806183115333
EALC,308,Chinese Popular Lit,17,41,35,22,6,3,3,1,2,1,0,0,2,0,133,3.5592481203007513,0.2719851913406106
EALC,361,Women in East Asia,0,10,1,6,4,1,2,3,0,0,0,0,1,0,28,3.177857142857143,0.46873197886297374
EALC,365,Contemporary Korean Society,0,77,2,3,10,2,2,3,2,1,0,1,1,1,104,3.621826923076923,0.47850502522971666
EALC,367,History of Korea,14,16,6,2,0,0,0,0,0,0,0,0,0,0,38,3.9126315789473685,0.033187811634349036
EALC,398,Colloquium in EALC,0,27,17,10,5,0,0,0,4,0,0,0,2,2,65,3.467230769230769,0.3471188172963132
EALC,415,Mod Japan Lit in Translation,0,8,8,6,2,3,1,0,0,0,0,0,0,0,28,3.488571428571429,0.2263051020408163
ECE,101,Exploring Digital Info Technol,15,24,26,18,8,17,8,3,3,2,4,1,4,2,133,3.140827067669173,0.6563205289213763
ECE,110,Intro Elec & Computer Engrg,265,555,585,401,400,302,210,258,149,67,57,18,115,18,3382,3.010325251330573,0.6741802361211446
ECE,110,Introduction to Electronics,684,1095,530,453,442,242,135,136,60,31,37,14,109,10,3968,3.355869455645161,0.4931290528767188
ECE,120,Introduction to Computing,149,590,462,357,407,242,193,197,120,62,58,30,116,11,2983,2.987643312101911,0.6984359622808557
ECE,190,Intro to Computing Systems,65,312,188,190,189,185,156,157,106,94,77,45,86,25,1850,2.6909621621621627,0.9220468294849425
ECE,198,Computer Engineering II,7,39,14,15,13,16,11,11,11,15,14,12,12,1,190,2.500210526315789,1.2608629445691792
ECE,198,Intro to Computer Eng II,12,29,40,56,64,73,50,43,32,0,17,0,0,2,416,2.7815625,0.5846261643629808
ECE,198,Intro to Computer Engineering,21,52,58,58,78,50,47,38,23,4,19,1,11,0,460,2.857413043478261,0.658695041761527
ECE,198,Introduction to Computer Eng,13,119,95,102,79,64,67,37,24,15,12,10,10,3,647,2.9876816074188564,0.6909037226244806
ECE,199,ECE 110 Merit Section,10,3,3,0,4,1,0,0,0,0,0,0,1,0,22,3.5309090909090908,0.21760285499624346
ECE,199,Undergraduate Open Seminar,76,22,14,8,7,6,2,2,0,0,1,0,3,1,141,3.664539007092199,0.2634975647656748
ECE,205,Elec & Electronic Circuits,335,932,502,483,726,429,311,461,212,65,144,116,90,21,4806,2.944444444444444,0.8258841216997272
ECE,205,Electrical & Electronic Ckts,31,54,34,28,18,21,0,22,5,2,5,4,2,0,226,3.2335398230088495,0.7455699494142687
ECE,206,Elec & Electronic Circuits Lab,113,893,302,196,156,37,6,13,6,0,4,0,14,4,1740,3.6815,0.19389114568965513
ECE,206,Electrical & Electronics Lab,4,39,13,2,0,0,0,0,0,0,0,0,0,0,58,3.9029310344827586,0.030465546967895364
ECE,210,Analog Signal Processing,337,666,411,563,857,542,467,723,420,100,242,55,183,33,5566,2.705831836148042,0.7823200959809355
ECE,220,Computer Systems & Programming,164,388,337,294,393,252,242,203,133,30,79,31,60,13,2606,2.9191442824251723,0.7249722913479946
ECE,290,Computer Engineering I,49,343,186,196,299,165,186,170,96,34,54,6,55,14,1839,2.869923871669386,0.7027695066542983
ECE,298,Concepts in Engineering Math,19,21,8,7,1,0,1,0,0,0,0,0,0,0,57,3.8245614035087723,0.10610550938750384
ECE,298,Digital System Design Lab,4,6,9,11,11,4,0,1,0,0,0,0,0,0,46,3.3769565217391304,0.22037334593572774
ECE,304,Photonic Devices,26,31,21,27,54,17,9,19,12,6,7,1,3,1,233,2.991545064377682,0.7115150994000713
ECE,307,Techniques for Engrg Decisions,6,19,35,41,28,19,14,14,3,0,0,0,0,2,179,3.158324022346369,0.3818430011547704
ECE,310,Digital Signal Processing,123,416,183,272,423,254,149,186,119,31,58,23,64,13,2301,2.9174663189917425,0.6956622800533869
ECE,311,Digital Signal Processing Lab,119,393,131,75,88,26,14,37,11,5,9,2,30,5,940,3.461617021276596,0.44208613837011057
ECE,313,Probability with Engrg Applic,234,469,309,485,848,476,432,518,249,141,179,22,139,19,4501,2.713988002666074,0.7079278656353266
ECE,314,Probability in Engineering Lab,15,44,12,9,10,3,1,0,0,0,0,0,3,0,97,3.6118556701030924,0.18239548282900891
ECE,316,Ethics and Engineering,2,463,188,95,78,32,8,7,3,1,0,0,0,5,877,3.677001140250855,0.2051931733168298
ECE,317,ECE Technology & Management,29,88,39,18,26,5,4,1,0,0,0,0,0,0,210,3.6844761904761905,0.19724186848072564
ECE,329,Fields and Waves I,305,561,368,340,484,263,262,264,189,57,112,17,146,25,3368,2.896157957244655,0.7616175684748403
ECE,330,Power Ckts & Electromechanics,62,355,108,94,573,153,103,390,85,22,185,58,39,4,2227,2.658262236192187,0.9028007221894072
ECE,333,Green Electric Energy,120,354,215,185,365,156,76,107,34,5,25,2,10,2,1654,3.20040507859734,0.5168412949977166
ECE,340,Semiconductor Electronics,214,385,203,292,517,215,210,368,194,53,186,41,165,19,3043,2.652533683864607,0.8616010185775245
ECE,342,Electronic Circuits,138,425,256,328,307,217,181,163,96,25,34,12,38,11,2220,3.048418918918919,0.6332749324355583
ECE,343,Electronic Circuits Laboratory,42,416,150,78,36,10,4,4,2,0,0,3,11,2,756,3.7031878306878308,0.17839552397505754
ECE,350,Fields and Waves II,124,127,129,102,98,58,66,60,40,3,12,4,9,1,832,3.1552884615384618,0.6443893308768882
ECE,361,Digital Communications,16,20,12,16,19,21,4,7,1,0,3,1,2,1,122,3.139754098360656,0.5681195166115225
ECE,380,Biomedical Imaging,41,59,30,37,46,36,20,17,8,4,4,1,7,0,310,3.1334838709677424,0.5899219007485482
ECE,385,Digital Systems Laboratory,191,854,758,688,712,405,251,174,99,41,23,31,60,10,4287,3.187942617214836,0.4944072232434243
ECE,391,Computer Systems Engineering,92,489,294,383,425,236,133,159,94,51,57,27,103,16,2543,2.9537082186394024,0.670514483165498
ECE,395,Advanced Digital Projects Lab,35,87,28,17,16,16,1,5,0,0,1,0,0,0,206,3.6476699029126216,0.29708583278348566
ECE,398,Innovation and Eng. Design,12,29,3,0,4,0,0,1,0,0,0,0,3,0,52,3.634807692307692,0.18761956147587636
ECE,398,Making Sense of Big Data,40,100,43,38,20,14,11,8,6,2,3,2,4,4,291,3.4377319587628863,0.5151962165346551
ECE,398,Probability in Engineering Lab,2,10,5,4,1,2,0,1,0,1,0,0,0,0,26,3.5130769230769228,0.455475147928994
ECE,398,Smart Contracts & Blockchain S,31,9,7,0,0,0,0,2,0,0,0,0,0,0,49,3.8712244897959183,0.1622393169512703
ECE,398,Special Topics in ECE,8,10,2,22,12,2,4,0,2,0,0,0,0,0,62,3.3322580645161293,0.32258522372528614
ECE,401,Signal and Image Analysis,3,13,1,2,0,2,0,0,0,0,0,0,0,0,21,3.7938095238095237,0.1738902494331066
ECE,402,Electronic Music Synthesis,94,178,88,42,59,23,7,30,7,1,3,0,4,2,536,3.5103731343283586,0.4216168791124573
ECE,403,Audio Engineering,3,13,9,1,2,0,0,1,0,0,0,0,0,0,29,3.736551724137931,0.18676741973840666
ECE,408,Applied Parallel Programming,54,329,190,134,195,70,33,40,13,0,9,0,10,2,1077,3.3751346332404832,0.3981789856575548
ECE,410,Digital Signal Processing I,19,48,37,21,52,24,17,37,15,11,16,19,6,0,322,2.719937888198758,1.0616684039248734
ECE,411,Computer Organization & Design,55,297,207,157,163,165,90,110,73,28,26,20,29,3,1420,2.9917605633802813,0.7405079519733957
ECE,416,Biosensors,29,28,42,24,20,18,4,12,10,3,6,0,1,1,197,3.1986294416243655,0.6866766479411796
ECE,417,Multimedia Signal Processing,54,80,35,16,22,6,2,1,3,0,2,2,1,0,224,3.6373214285714286,0.3703369896535623
ECE,418,Image & Video Processing,27,37,23,20,14,14,4,5,1,0,1,0,1,0,147,3.4583673469387755,0.38603199630539425
ECE,420,Digital Signal Processing Lab,9,15,11,4,4,1,2,1,0,0,0,0,0,0,47,3.6387234042553187,0.25969624264373015
ECE,420,Embedded DSP Laboratory,59,112,68,45,30,11,7,6,2,0,0,0,2,0,342,3.6094444444444433,0.24918425745433545
ECE,425,Intro to VLSI System Design,12,61,19,23,35,23,9,6,4,0,7,4,5,0,208,3.1445192307692307,0.695122817113891
ECE,430,Power Ckts & Electromechanics,8,39,21,20,84,22,21,59,18,6,20,5,1,3,324,2.687438271604938,0.7878711398202011
ECE,431,Electric Machinery,2,105,52,66,100,56,16,25,7,3,8,1,10,0,451,3.10370288248337,0.49403326021928373
ECE,435,Computer Networking Laboratory,5,17,0,0,1,0,0,3,0,0,0,0,0,0,26,3.730769230769231,0.42751479289940836
ECE,437,Sensors and Instrumentation,17,82,23,15,14,1,1,4,2,0,0,0,0,1,159,3.7025157232704404,0.25523769629365933
ECE,439,Wireless Networks,5,51,16,22,10,2,1,9,0,0,0,0,3,0,119,3.4592436974789913,0.3466229500599054
ECE,440,Solid State Electronic Devices,49,60,53,50,73,49,48,68,37,1,23,3,22,3,536,2.7664365671641784,0.764991279253983
ECE,441,Physcs & Modeling Semicond Dev,24,21,19,17,29,17,10,7,0,0,0,1,2,0,147,3.2428571428571433,0.42481193946966544
ECE,442,Electronic Circuits,21,55,37,44,36,28,18,18,9,4,3,4,2,1,279,3.1291756272401434,0.6490416852402787
ECE,443,Electronic Circuits Laboratory,0,8,3,7,4,0,0,1,0,0,0,0,0,0,23,3.492173913043478,0.2407648393194707
ECE,444,IC Device Theory & Fabrication,105,350,125,86,209,66,23,72,16,6,9,1,10,5,1078,3.349081632653061,0.5036440751341241
ECE,445,Senior Design Project Lab,188,451,327,264,331,207,115,150,79,10,80,1,51,4,2254,3.0943877551020407,0.6576524802914121
ECE,447,Active Microwave Ckt Design,7,17,15,5,5,0,1,0,0,0,0,0,1,0,51,3.6280392156862753,0.14604187001982633
ECE,450,"Lines, Fields, and Waves",25,51,10,29,35,24,7,5,8,0,2,0,1,0,197,3.289441624365483,0.49862848923132985
ECE,451,Adv Microwave Measurements,25,37,20,9,10,4,0,2,0,0,0,0,0,0,107,3.701401869158879,0.20330364223949687
ECE,452,Electromagnetic Fields,10,11,8,7,5,2,2,0,0,0,0,0,0,0,45,3.592666666666667,0.2369484444444444
ECE,453,Wireless Communication Systems,43,95,47,66,92,28,22,37,17,0,13,1,2,3,463,3.1584233261339096,0.6266506980862724
ECE,454,Antennas,15,32,25,15,11,7,4,3,5,0,1,0,0,2,118,3.441186440677966,0.46856130422292436
ECE,455,Optical Electronics,16,85,44,32,59,28,16,13,9,4,8,0,4,4,318,3.1931761006289308,0.5971427600624328
